id_artigo,loja,qtd_disponivel,distrito
1,Aeroporto,10,Lisboa
1,Amoreiras,20,Lisboa
1,"Braga Parque",1,Braga
1,"CC Setúbal",18,Setúbal
1,Colombo,3,Lisboa
1,"Estação Viana",17,"Viana do Castelo"
1,"Évora Plaza",30,Évora
1,"Fórum Algarve",0,Faro
1,"Fórum Aveiro",11,Aveiro
1,"Fórum Coimbra",30,Coimbra
1,"Gaia Shopping",21,Porto
1,"Leiria Shopping",21,Leiria
1,"Norte Shopping",0,Porto
1,"Nosso Shopping",27,"Vila Real"
1,"Palácio do Gelo",16,Viseu
1,"Santa Catarina",24,Porto
1,"Vasgo da Gama",21,Lisboa
2,Aeroporto,4,Lisboa
2,Amoreiras,26,Lisboa
2,"Braga Parque",18,Braga
2,"CC Setúbal",9,Setúbal
2,Colombo,22,Lisboa
2,"Estação Viana",28,"Viana do Castelo"
2,"Évora Plaza",13,Évora
2,"Fórum Algarve",0,Faro
2,"Fórum Aveiro",25,Aveiro
2,"Fórum Coimbra",19,Coimbra
2,"Gaia Shopping",31,Porto
2,"Leiria Shopping",6,Leiria
2,"Norte Shopping",15,Porto
2,"Nosso Shopping",14,"Vila Real"
2,"Palácio do Gelo",9,Viseu
2,"Santa Catarina",12,Porto
2,"Vasgo da Gama",26,Lisboa
3,Aeroporto,23,Lisboa
3,Amoreiras,17,Lisboa
3,"Braga Parque",3,Braga
3,"CC Setúbal",16,Setúbal
3,Colombo,0,Lisboa
3,"Estação Viana",26,"Viana do Castelo"
3,"Évora Plaza",0,Évora
3,"Fórum Algarve",13,Faro
3,"Fórum Aveiro",14,Aveiro
3,"Fórum Coimbra",7,Coimbra
3,"Gaia Shopping",14,Porto
3,"Leiria Shopping",28,Leiria
3,"Norte Shopping",10,Porto
3,"Nosso Shopping",18,"Vila Real"
3,"Palácio do Gelo",9,Viseu
3,"Santa Catarina",29,Porto
3,"Vasgo da Gama",25,Lisboa
4,Aeroporto,5,Lisboa
4,Amoreiras,8,Lisboa
4,"Braga Parque",0,Braga
4,"CC Setúbal",31,Setúbal
4,Colombo,31,Lisboa
4,"Estação Viana",16,"Viana do Castelo"
4,"Évora Plaza",10,Évora
4,"Fórum Algarve",0,Faro
4,"Fórum Aveiro",25,Aveiro
4,"Fórum Coimbra",4,Coimbra
4,"Gaia Shopping",0,Porto
4,"Leiria Shopping",0,Leiria
4,"Norte Shopping",19,Porto
4,"Nosso Shopping",6,"Vila Real"
4,"Palácio do Gelo",31,Viseu
4,"Santa Catarina",18,Porto
4,"Vasgo da Gama",0,Lisboa
5,Aeroporto,21,Lisboa
5,Amoreiras,7,Lisboa
5,"Braga Parque",14,Braga
5,"CC Setúbal",31,Setúbal
5,Colombo,19,Lisboa
5,"Estação Viana",24,"Viana do Castelo"
5,"Évora Plaza",27,Évora
5,"Fórum Algarve",20,Faro
5,"Fórum Aveiro",25,Aveiro
5,"Fórum Coimbra",14,Coimbra
5,"Gaia Shopping",0,Porto
5,"Leiria Shopping",22,Leiria
5,"Norte Shopping",12,Porto
5,"Nosso Shopping",8,"Vila Real"
5,"Palácio do Gelo",0,Viseu
5,"Santa Catarina",7,Porto
5,"Vasgo da Gama",26,Lisboa
6,Aeroporto,28,Lisboa
6,Amoreiras,21,Lisboa
6,"Braga Parque",23,Braga
6,"CC Setúbal",7,Setúbal
6,Colombo,15,Lisboa
6,"Estação Viana",10,"Viana do Castelo"
6,"Évora Plaza",18,Évora
6,"Fórum Algarve",10,Faro
6,"Fórum Aveiro",31,Aveiro
6,"Fórum Coimbra",30,Coimbra
6,"Gaia Shopping",12,Porto
6,"Leiria Shopping",20,Leiria
6,"Norte Shopping",10,Porto
6,"Nosso Shopping",11,"Vila Real"
6,"Palácio do Gelo",23,Viseu
6,"Santa Catarina",21,Porto
6,"Vasgo da Gama",0,Lisboa
7,Aeroporto,0,Lisboa
7,Amoreiras,30,Lisboa
7,"Braga Parque",1,Braga
7,"CC Setúbal",13,Setúbal
7,Colombo,27,Lisboa
7,"Estação Viana",5,"Viana do Castelo"
7,"Évora Plaza",19,Évora
7,"Fórum Algarve",27,Faro
7,"Fórum Aveiro",17,Aveiro
7,"Fórum Coimbra",5,Coimbra
7,"Gaia Shopping",0,Porto
7,"Leiria Shopping",7,Leiria
7,"Norte Shopping",0,Porto
7,"Nosso Shopping",23,"Vila Real"
7,"Palácio do Gelo",22,Viseu
7,"Santa Catarina",7,Porto
7,"Vasgo da Gama",14,Lisboa
8,Aeroporto,0,Lisboa
8,Amoreiras,16,Lisboa
8,"Braga Parque",0,Braga
8,"CC Setúbal",19,Setúbal
8,Colombo,27,Lisboa
8,"Estação Viana",29,"Viana do Castelo"
8,"Évora Plaza",25,Évora
8,"Fórum Algarve",20,Faro
8,"Fórum Aveiro",16,Aveiro
8,"Fórum Coimbra",19,Coimbra
8,"Gaia Shopping",28,Porto
8,"Leiria Shopping",13,Leiria
8,"Norte Shopping",16,Porto
8,"Nosso Shopping",9,"Vila Real"
8,"Palácio do Gelo",0,Viseu
8,"Santa Catarina",0,Porto
8,"Vasgo da Gama",1,Lisboa
9,Aeroporto,7,Lisboa
9,Amoreiras,0,Lisboa
9,"Braga Parque",20,Braga
9,"CC Setúbal",0,Setúbal
9,Colombo,15,Lisboa
9,"Estação Viana",18,"Viana do Castelo"
9,"Évora Plaza",0,Évora
9,"Fórum Algarve",25,Faro
9,"Fórum Aveiro",0,Aveiro
9,"Fórum Coimbra",22,Coimbra
9,"Gaia Shopping",4,Porto
9,"Leiria Shopping",4,Leiria
9,"Norte Shopping",6,Porto
9,"Nosso Shopping",7,"Vila Real"
9,"Palácio do Gelo",14,Viseu
9,"Santa Catarina",0,Porto
9,"Vasgo da Gama",4,Lisboa
10,Aeroporto,10,Lisboa
10,Amoreiras,22,Lisboa
10,"Braga Parque",23,Braga
10,"CC Setúbal",0,Setúbal
10,Colombo,11,Lisboa
10,"Estação Viana",5,"Viana do Castelo"
10,"Évora Plaza",0,Évora
10,"Fórum Algarve",0,Faro
10,"Fórum Aveiro",14,Aveiro
10,"Fórum Coimbra",14,Coimbra
10,"Gaia Shopping",0,Porto
10,"Leiria Shopping",0,Leiria
10,"Norte Shopping",3,Porto
10,"Nosso Shopping",25,"Vila Real"
10,"Palácio do Gelo",23,Viseu
10,"Santa Catarina",22,Porto
10,"Vasgo da Gama",2,Lisboa
11,Aeroporto,9,Lisboa
11,Amoreiras,10,Lisboa
11,"Braga Parque",6,Braga
11,"CC Setúbal",0,Setúbal
11,Colombo,8,Lisboa
11,"Estação Viana",4,"Viana do Castelo"
11,"Évora Plaza",12,Évora
11,"Fórum Algarve",0,Faro
11,"Fórum Aveiro",7,Aveiro
11,"Fórum Coimbra",28,Coimbra
11,"Gaia Shopping",10,Porto
11,"Leiria Shopping",23,Leiria
11,"Norte Shopping",22,Porto
11,"Nosso Shopping",15,"Vila Real"
11,"Palácio do Gelo",26,Viseu
11,"Santa Catarina",28,Porto
11,"Vasgo da Gama",13,Lisboa
12,Aeroporto,0,Lisboa
12,Amoreiras,11,Lisboa
12,"Braga Parque",23,Braga
12,"CC Setúbal",14,Setúbal
12,Colombo,26,Lisboa
12,"Estação Viana",11,"Viana do Castelo"
12,"Évora Plaza",22,Évora
12,"Fórum Algarve",22,Faro
12,"Fórum Aveiro",21,Aveiro
12,"Fórum Coimbra",7,Coimbra
12,"Gaia Shopping",0,Porto
12,"Leiria Shopping",5,Leiria
12,"Norte Shopping",24,Porto
12,"Nosso Shopping",12,"Vila Real"
12,"Palácio do Gelo",15,Viseu
12,"Santa Catarina",22,Porto
12,"Vasgo da Gama",26,Lisboa
13,Aeroporto,0,Lisboa
13,Amoreiras,25,Lisboa
13,"Braga Parque",18,Braga
13,"CC Setúbal",9,Setúbal
13,Colombo,6,Lisboa
13,"Estação Viana",14,"Viana do Castelo"
